date,state,state_ibge_code,place,deaths_sars,deaths_pneumonia,deaths_respiratory_failure,deaths_septicemia,deaths_indeterminate,deaths_others,deaths_covid19,created_at
2018-03-19,AC,12,hospital,,3,3,1,,1,,2020-06-09 15:50
2018-03-19,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-20,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-03-20,AC,12,hospital,,3,1,1,,4,,2020-06-09 15:50
2018-03-20,AC,12,others,,,,,1,2,,2020-06-09 15:50
2018-03-21,AC,12,home,,,,,1,3,,2020-06-09 15:50
2018-03-21,AC,12,hospital,,3,,2,,5,,2020-06-09 15:50
2018-03-21,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-03-22,AC,12,home,,2,,1,,2,,2020-06-09 15:50
2018-03-22,AC,12,hospital,,2,1,1,,1,,2020-06-09 15:50
2018-03-23,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-03-23,AC,12,hospital,,6,1,1,,3,,2020-06-09 15:50
2018-03-23,AC,12,others,,,,1,,,,2020-06-09 15:50
2018-03-23,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-24,AC,12,home,,,,,1,2,,2020-06-09 15:50
2018-03-24,AC,12,hospital,,3,,,,5,,2020-06-09 15:50
2018-03-25,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-03-25,AC,12,hospital,,4,3,1,,2,,2020-06-09 15:50
2018-03-25,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-03-26,AC,12,home,,,1,,,1,,2020-06-09 15:50
2018-03-26,AC,12,hospital,,4,,,,2,,2020-06-09 15:50
2018-03-26,AC,12,others,,1,,,,1,,2020-06-09 15:50
2018-03-27,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-03-27,AC,12,hospital,,1,,2,1,3,,2020-06-09 15:50
2018-03-27,AC,12,others,,1,,,,,,2020-06-09 15:50
2018-03-28,AC,12,home,,1,,,,1,,2020-06-09 15:50
2018-03-28,AC,12,hospital,,4,,2,,6,,2020-06-09 15:50
2018-03-28,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-03-29,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-03-29,AC,12,hospital,,1,1,,,1,,2020-06-09 15:50
2018-03-29,AC,12,others,,1,,1,,,,2020-06-09 15:50
2018-03-29,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-03-30,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-03-30,AC,12,hospital,,1,1,,,2,,2020-06-09 15:50
2018-03-30,AC,12,others,,,,1,,,,2020-06-09 15:50
2018-03-31,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-03-31,AC,12,hospital,,4,,,,5,,2020-06-09 15:50
2018-03-31,AC,12,others,,,,,,3,,2020-06-09 15:50
2018-04-01,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-04-01,AC,12,hospital,,6,1,,,2,,2020-06-09 15:50
2018-04-01,AC,12,public,,,,,,2,,2020-06-09 15:50
2018-04-02,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-04-02,AC,12,hospital,,2,1,,,2,,2020-06-09 15:50
2018-04-02,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-03,AC,12,home,,,,,,4,,2020-06-09 15:50
2018-04-03,AC,12,hospital,,2,1,2,,4,,2020-06-09 15:50
2018-04-03,AC,12,others,,,,,,4,,2020-06-09 15:50
2018-04-04,AC,12,home,,1,,,,,,2020-06-09 15:50
2018-04-04,AC,12,hospital,,1,2,1,,5,,2020-06-09 15:50
2018-04-04,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-04,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-04-05,AC,12,home,,1,,,,2,,2020-06-09 15:50
2018-04-05,AC,12,hospital,,1,,1,,4,,2020-06-09 15:50
2018-04-05,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-06,AC,12,hospital,,2,1,2,,2,,2020-06-09 15:50
2018-04-06,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-06,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-04-07,AC,12,hospital,,1,1,,,1,,2020-06-09 15:50
2018-04-07,AC,12,others,,,,1,,,,2020-06-09 15:50
2018-04-07,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-04-08,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-04-08,AC,12,hospital,,3,,,,3,,2020-06-09 15:50
2018-04-08,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-04-08,AC,12,public,,,,,,2,,2020-06-09 15:50
2018-04-09,AC,12,home,,,,,,3,,2020-06-09 15:50
2018-04-09,AC,12,hospital,,3,,1,,5,,2020-06-09 15:50
2018-04-09,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-10,AC,12,home,,1,,,,2,,2020-06-09 15:50
2018-04-10,AC,12,hospital,,7,,3,,3,,2020-06-09 15:50
2018-04-10,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-10,AC,12,public,,,,,,1,,2020-06-09 15:50
2018-04-11,AC,12,home,,,1,,,,,2020-06-09 15:50
2018-04-11,AC,12,hospital,,3,,2,,4,,2020-06-09 15:50
2018-04-12,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-04-12,AC,12,hospital,,2,1,2,,4,,2020-06-09 15:50
2018-04-12,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-13,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-04-13,AC,12,hospital,,6,1,1,,5,,2020-06-09 15:50
2018-04-13,AC,12,others,,,,,,2,,2020-06-09 15:50
2018-04-14,AC,12,home,,,1,,,3,,2020-06-09 15:50
2018-04-14,AC,12,hospital,,3,2,1,,2,,2020-06-09 15:50
2018-04-14,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-14,AC,12,public,,,,,1,2,,2020-06-09 15:50
2018-04-15,AC,12,home,,,,,,6,,2020-06-09 15:50
2018-04-15,AC,12,hospital,,,,1,,3,,2020-06-09 15:50
2018-04-15,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-15,AC,12,public,,,,,,2,,2020-06-09 15:50
2018-04-16,AC,12,home,,,1,,,2,,2020-06-09 15:50
2018-04-16,AC,12,hospital,,1,4,1,,4,,2020-06-09 15:50
2018-04-16,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-17,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-04-17,AC,12,hospital,,4,,1,,5,,2020-06-09 15:50
2018-04-17,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-18,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-04-18,AC,12,hospital,,,,1,,5,,2020-06-09 15:50
2018-04-18,AC,12,others,,,,,,1,,2020-06-09 15:50
2018-04-19,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-04-19,AC,12,hospital,,1,,1,,2,,2020-06-09 15:50
2018-04-20,AC,12,home,,,1,,,2,,2020-06-09 15:50
2018-04-20,AC,12,hospital,,4,,3,,1,,2020-06-09 15:50
2018-04-21,AC,12,home,,,,,,2,,2020-06-09 15:50
2018-04-21,AC,12,hospital,,3,2,2,,2,,2020-06-09 15:50
2018-04-22,AC,12,home,,,,,,1,,2020-06-09 15:50
2018-04-22,AC,12,hospital,,1,,1,,5,,2020-06-09 15:50
2018-04-23,AC,12,home,,1,1,,,,,2020-06-09 15:50
2018-04-23,AC,12,hospital,,2,3,,,5,,2020-06-09 15:50
